n,m,time,name,
100,10,0,BFS,0
100,10,0,BFS,1
100,10,0,BFS,2
100,10,0,BFS,3
100,10,0,BFS,4
100,10,0,BFS,5
100,10,0,BFS,6
100,10,0,BFS,7
100,10,15,BFS,8
100,10,0,BFS,9
100,20,0,BFS,10
100,20,0,BFS,11
100,20,0,BFS,12
100,20,0,BFS,13
100,20,0,BFS,14
100,20,0,BFS,15
100,20,0,BFS,16
100,20,0,BFS,17
100,20,0,BFS,18
100,20,0,BFS,19
100,40,0,BFS,20
100,40,0,BFS,21
100,40,0,BFS,22
100,40,15,BFS,23
100,40,0,BFS,24
100,40,0,BFS,25
100,40,0,BFS,26
100,40,0,BFS,27
100,40,0,BFS,28
100,40,15,BFS,29
100,80,0,BFS,30
100,80,0,BFS,31
100,80,0,BFS,32
100,80,0,BFS,33
100,80,15,BFS,34
100,80,0,BFS,35
100,80,0,BFS,36
100,80,0,BFS,37
100,80,0,BFS,38
100,80,0,BFS,39
100,160,15,BFS,40
100,160,0,BFS,41
100,160,0,BFS,42
100,160,0,BFS,43
100,160,15,BFS,44
100,160,15,BFS,45
100,160,0,BFS,46
100,160,15,BFS,47
100,160,15,BFS,48
100,160,15,BFS,49
100,320,15,BFS,50
100,320,15,BFS,51
100,320,15,BFS,52
100,320,15,BFS,53
100,320,15,BFS,54
100,320,30,BFS,55
100,320,30,BFS,56
100,320,15,BFS,57
100,320,15,BFS,58
100,320,15,BFS,59
100,640,61,BFS,60
100,640,62,BFS,61
100,640,61,BFS,62
100,640,62,BFS,63
100,640,62,BFS,64
100,640,93,BFS,65
100,640,62,BFS,66
100,640,124,BFS,67
100,640,93,BFS,68
100,640,61,BFS,69
100,1280,296,BFS,70
100,1280,326,BFS,71
100,1280,296,BFS,72
100,1280,295,BFS,73
100,1280,280,BFS,74
100,1280,311,BFS,75
100,1280,296,BFS,76
100,1280,295,BFS,77
100,1280,264,BFS,78
100,1280,561,BFS,79
200,10,15,BFS,80
200,10,0,BFS,81
200,10,15,BFS,82
200,10,0,BFS,83
200,10,0,BFS,84
200,10,0,BFS,85
200,10,15,BFS,86
200,10,15,BFS,87
200,10,0,BFS,88
200,10,0,BFS,89
200,20,15,BFS,90
200,20,15,BFS,91
200,20,0,BFS,92
200,20,30,BFS,93
200,20,0,BFS,94
200,20,0,BFS,95
200,20,15,BFS,96
200,20,0,BFS,97
200,20,0,BFS,98
200,20,15,BFS,99
200,40,0,BFS,100
200,40,0,BFS,101
200,40,0,BFS,102
200,40,0,BFS,103
200,40,0,BFS,104
200,40,0,BFS,105
200,40,0,BFS,106
200,40,0,BFS,107
200,40,15,BFS,108
200,40,0,BFS,109
200,80,0,BFS,110
200,80,0,BFS,111
200,80,15,BFS,112
200,80,15,BFS,113
200,80,0,BFS,114
200,80,15,BFS,115
200,80,15,BFS,116
200,80,0,BFS,117
200,80,0,BFS,118
200,80,0,BFS,119
200,160,15,BFS,120
200,160,15,BFS,121
200,160,15,BFS,122
200,160,15,BFS,123
200,160,15,BFS,124
200,160,0,BFS,125
200,160,30,BFS,126
200,160,30,BFS,127
200,160,0,BFS,128
200,160,0,BFS,129
200,320,15,BFS,130
200,320,31,BFS,131
200,320,15,BFS,132
200,320,31,BFS,133
200,320,15,BFS,134
200,320,15,BFS,135
200,320,15,BFS,136
200,320,31,BFS,137
200,320,31,BFS,138
200,320,15,BFS,139
200,640,62,BFS,140
200,640,78,BFS,141
200,640,93,BFS,142
200,640,62,BFS,143
200,640,78,BFS,144
200,640,62,BFS,145
200,640,62,BFS,146
200,640,62,BFS,147
200,640,77,BFS,148
200,640,61,BFS,149
200,1280,296,BFS,150
200,1280,280,BFS,151
200,1280,280,BFS,152
200,1280,311,BFS,153
200,1280,295,BFS,154
200,1280,280,BFS,155
200,1280,295,BFS,156
200,1280,311,BFS,157
200,1280,311,BFS,158
200,1280,296,BFS,159
400,10,0,BFS,160
400,10,15,BFS,161
400,10,0,BFS,162
400,10,15,BFS,163
400,10,15,BFS,164
400,10,0,BFS,165
400,10,0,BFS,166
400,10,31,BFS,167
400,10,15,BFS,168
400,10,0,BFS,169
400,20,15,BFS,170
400,20,15,BFS,171
400,20,15,BFS,172
400,20,15,BFS,173
400,20,15,BFS,174
400,20,0,BFS,175
400,20,15,BFS,176
400,20,0,BFS,177
400,20,0,BFS,178
400,20,0,BFS,179
400,40,0,BFS,180
400,40,15,BFS,181
400,40,0,BFS,182
400,40,15,BFS,183
400,40,0,BFS,184
400,40,15,BFS,185
400,40,0,BFS,186
400,40,15,BFS,187
400,40,0,BFS,188
400,40,15,BFS,189
400,80,15,BFS,190
400,80,0,BFS,191
400,80,31,BFS,192
400,80,15,BFS,193
400,80,0,BFS,194
400,80,0,BFS,195
400,80,0,BFS,196
400,80,0,BFS,197
400,80,31,BFS,198
400,80,15,BFS,199
400,160,15,BFS,200
400,160,0,BFS,201
400,160,31,BFS,202
400,160,0,BFS,203
400,160,0,BFS,204
400,160,0,BFS,205
400,160,0,BFS,206
400,160,15,BFS,207
400,160,15,BFS,208
400,160,0,BFS,209
400,320,31,BFS,210
400,320,15,BFS,211
400,320,15,BFS,212
400,320,30,BFS,213
400,320,15,BFS,214
400,320,30,BFS,215
400,320,15,BFS,216
400,320,31,BFS,217
400,320,30,BFS,218
400,320,46,BFS,219
400,640,93,BFS,220
400,640,93,BFS,221
400,640,78,BFS,222
400,640,78,BFS,223
400,640,61,BFS,224
400,640,78,BFS,225
400,640,62,BFS,226
400,640,78,BFS,227
400,640,78,BFS,228
400,640,93,BFS,229
400,1280,327,BFS,230
400,1280,342,BFS,231
400,1280,374,BFS,232
400,1280,327,BFS,233
400,1280,327,BFS,234
400,1280,311,BFS,235
400,1280,327,BFS,236
400,1280,280,BFS,237
400,1280,327,BFS,238
400,1280,295,BFS,239
800,10,15,BFS,240
800,10,0,BFS,241
800,10,0,BFS,242
800,10,15,BFS,243
800,10,15,BFS,244
800,10,0,BFS,245
800,10,15,BFS,246
800,10,15,BFS,247
800,10,15,BFS,248
800,10,15,BFS,249
800,20,15,BFS,250
800,20,15,BFS,251
800,20,15,BFS,252
800,20,15,BFS,253
800,20,15,BFS,254
800,20,15,BFS,255
800,20,15,BFS,256
800,20,15,BFS,257
800,20,0,BFS,258
800,20,0,BFS,259
800,40,15,BFS,260
800,40,15,BFS,261
800,40,31,BFS,262
800,40,15,BFS,263
800,40,15,BFS,264
800,40,15,BFS,265
800,40,15,BFS,266
800,40,15,BFS,267
800,40,31,BFS,268
800,40,15,BFS,269
800,80,30,BFS,270
800,80,15,BFS,271
800,80,30,BFS,272
800,80,15,BFS,273
800,80,15,BFS,274
800,80,15,BFS,275
800,80,31,BFS,276
800,80,15,BFS,277
800,80,15,BFS,278
800,80,15,BFS,279
800,160,15,BFS,280
800,160,31,BFS,281
800,160,31,BFS,282
800,160,0,BFS,283
800,160,15,BFS,284
800,160,15,BFS,285
800,160,30,BFS,286
800,160,15,BFS,287
800,160,15,BFS,288
800,160,15,BFS,289
800,320,31,BFS,290
800,320,46,BFS,291
800,320,15,BFS,292
800,320,31,BFS,293
800,320,46,BFS,294
800,320,46,BFS,295
800,320,46,BFS,296
800,320,46,BFS,297
800,320,31,BFS,298
800,320,31,BFS,299
800,640,78,BFS,300
800,640,78,BFS,301
800,640,93,BFS,302
800,640,108,BFS,303
800,640,109,BFS,304
800,640,78,BFS,305
800,640,78,BFS,306
800,640,93,BFS,307
800,640,93,BFS,308
800,640,93,BFS,309
800,1280,311,BFS,310
800,1280,343,BFS,311
800,1280,326,BFS,312
800,1280,327,BFS,313
800,1280,327,BFS,314
800,1280,327,BFS,315
800,1280,311,BFS,316
800,1280,311,BFS,317
800,1280,311,BFS,318
800,1280,342,BFS,319
1600,10,15,BFS,320
1600,10,46,BFS,321
1600,10,31,BFS,322
1600,10,31,BFS,323
1600,10,31,BFS,324
1600,10,15,BFS,325
1600,10,31,BFS,326
1600,10,46,BFS,327
1600,10,31,BFS,328
1600,10,31,BFS,329
1600,20,31,BFS,330
1600,20,30,BFS,331
1600,20,15,BFS,332
1600,20,31,BFS,333
1600,20,46,BFS,334
1600,20,31,BFS,335
1600,20,31,BFS,336
1600,20,31,BFS,337
1600,20,31,BFS,338
1600,20,31,BFS,339
1600,40,15,BFS,340
1600,40,31,BFS,341
1600,40,46,BFS,342
1600,40,31,BFS,343
1600,40,15,BFS,344
1600,40,30,BFS,345
1600,40,31,BFS,346
1600,40,31,BFS,347
1600,40,46,BFS,348
1600,40,31,BFS,349
1600,80,31,BFS,350
1600,80,31,BFS,351
1600,80,31,BFS,352
1600,80,15,BFS,353
1600,80,30,BFS,354
1600,80,31,BFS,355
1600,80,30,BFS,356
1600,80,15,BFS,357
1600,80,31,BFS,358
1600,80,31,BFS,359
1600,160,15,BFS,360
1600,160,46,BFS,361
1600,160,31,BFS,362
1600,160,31,BFS,363
1600,160,31,BFS,364
1600,160,31,BFS,365
1600,160,31,BFS,366
1600,160,31,BFS,367
1600,160,31,BFS,368
1600,160,31,BFS,369
1600,320,46,BFS,370
1600,320,46,BFS,371
1600,320,30,BFS,372
1600,320,46,BFS,373
1600,320,46,BFS,374
1600,320,31,BFS,375
1600,320,46,BFS,376
1600,320,46,BFS,377
1600,320,31,BFS,378
1600,320,46,BFS,379
1600,640,109,BFS,380
1600,640,124,BFS,381
1600,640,155,BFS,382
1600,640,124,BFS,383
1600,640,109,BFS,384
1600,640,93,BFS,385
1600,640,93,BFS,386
1600,640,93,BFS,387
1600,640,93,BFS,388
1600,640,93,BFS,389
1600,1280,374,BFS,390
1600,1280,374,BFS,391
1600,1280,342,BFS,392
1600,1280,374,BFS,393
1600,1280,389,BFS,394
1600,1280,358,BFS,395
1600,1280,389,BFS,396
1600,1280,404,BFS,397
1600,1280,358,BFS,398
1600,1280,389,BFS,399
3200,10,46,BFS,400
3200,10,46,BFS,401
3200,10,62,BFS,402
3200,10,46,BFS,403
3200,10,46,BFS,404
3200,10,46,BFS,405
3200,10,46,BFS,406
3200,10,62,BFS,407
3200,10,46,BFS,408
3200,10,46,BFS,409
3200,20,46,BFS,410
3200,20,46,BFS,411
3200,20,46,BFS,412
3200,20,61,BFS,413
3200,20,31,BFS,414
3200,20,46,BFS,415
3200,20,46,BFS,416
3200,20,46,BFS,417
3200,20,46,BFS,418
3200,20,46,BFS,419
3200,40,31,BFS,420
3200,40,31,BFS,421
3200,40,61,BFS,422
3200,40,31,BFS,423
3200,40,46,BFS,424
3200,40,46,BFS,425
3200,40,46,BFS,426
3200,40,46,BFS,427
3200,40,46,BFS,428
3200,40,46,BFS,429
3200,80,46,BFS,430
3200,80,46,BFS,431
3200,80,46,BFS,432
3200,80,46,BFS,433
3200,80,62,BFS,434
3200,80,62,BFS,435
3200,80,46,BFS,436
3200,80,61,BFS,437
3200,80,31,BFS,438
3200,80,46,BFS,439
3200,160,46,BFS,440
3200,160,62,BFS,441
3200,160,61,BFS,442
3200,160,46,BFS,443
3200,160,46,BFS,444
3200,160,46,BFS,445
3200,160,62,BFS,446
3200,160,46,BFS,447
3200,160,46,BFS,448
3200,160,46,BFS,449
3200,320,62,BFS,450
3200,320,78,BFS,451
3200,320,62,BFS,452
3200,320,62,BFS,453
3200,320,77,BFS,454
3200,320,77,BFS,455
3200,320,62,BFS,456
3200,320,62,BFS,457
3200,320,61,BFS,458
3200,320,93,BFS,459
3200,640,124,BFS,460
3200,640,124,BFS,461
3200,640,155,BFS,462
3200,640,109,BFS,463
3200,640,124,BFS,464
3200,640,124,BFS,465
3200,640,140,BFS,466
3200,640,139,BFS,467
3200,640,139,BFS,468
3200,640,156,BFS,469
3200,1280,405,BFS,470
3200,1280,404,BFS,471
