n,m,time,name
100,10,156,Dense
100,10,171,Dense
100,10,171,Dense
100,10,155,Dense
100,10,202,Dense
100,10,171,Dense
100,10,187,Dense
100,10,218,Dense
100,10,171,Dense
100,10,155,Dense
100,20,155,Dense
100,20,171,Dense
100,20,186,Dense
100,20,171,Dense
100,20,202,Dense
100,20,156,Dense
100,20,202,Dense
100,20,186,Dense
100,20,171,Dense
100,20,171,Dense
100,40,156,Dense
100,40,186,Dense
100,40,171,Dense
100,40,187,Dense
100,40,171,Dense
100,40,234,Dense
100,40,186,Dense
100,40,171,Dense
100,40,187,Dense
100,40,186,Dense
100,80,171,Dense
100,80,171,Dense
100,80,171,Dense
100,80,171,Dense
100,80,171,Dense
100,80,171,Dense
100,80,171,Dense
100,80,187,Dense
100,80,140,Dense
100,80,202,Dense
100,160,186,Dense
100,160,202,Dense
100,160,218,Dense
100,160,186,Dense
100,160,202,Dense
100,160,202,Dense
100,160,186,Dense
100,160,186,Dense
100,160,186,Dense
100,160,202,Dense
100,320,436,Dense
100,320,436,Dense
100,320,498,Dense
100,320,451,Dense
100,320,452,Dense
100,320,373,Dense
100,320,467,Dense
100,320,483,Dense
100,320,420,Dense
100,320,655,Dense
100,640,3556,Dense
100,640,3868,Dense
100,640,3603,Dense
100,640,3556,Dense
100,640,4586,Dense
100,640,4523,Dense
100,640,5740,Dense
100,640,3603,Dense
100,640,3291,Dense
100,640,4149,Dense
100,1280,15000,Dense
100,1280,15000,Dense
100,1280,15000,Dense
100,1280,15000,Dense
100,1280,15000,Dense
100,1280,15000,Dense
100,1280,15000,Dense
100,1280,15000,Dense
100,1280,15000,Dense
100,1280,15000,Dense
200,10,170,Dense
200,10,202,Dense
200,10,358,Dense
200,10,155,Dense
200,10,171,Dense
200,10,171,Dense
200,10,780,Dense
200,10,171,Dense
200,10,171,Dense
200,10,170,Dense
200,20,202,Dense
200,20,171,Dense
200,20,170,Dense
200,20,155,Dense
200,20,171,Dense
200,20,186,Dense
200,20,187,Dense
200,20,171,Dense
200,20,155,Dense
200,20,171,Dense
200,40,171,Dense
200,40,186,Dense
200,40,155,Dense
200,40,171,Dense
200,40,186,Dense
200,40,156,Dense
200,40,156,Dense
200,40,155,Dense
200,40,389,Dense
200,40,202,Dense
200,80,202,Dense
200,80,155,Dense
200,80,155,Dense
200,80,186,Dense
200,80,155,Dense
200,80,155,Dense
200,80,186,Dense
200,80,187,Dense
200,80,187,Dense
200,80,171,Dense
200,160,186,Dense
200,160,202,Dense
200,160,202,Dense
200,160,186,Dense
200,160,171,Dense
200,160,202,Dense
200,160,170,Dense
200,160,187,Dense
200,160,202,Dense
200,160,233,Dense
200,320,608,Dense
200,320,374,Dense
200,320,608,Dense
200,320,326,Dense
200,320,343,Dense
200,320,404,Dense
200,320,390,Dense
200,320,358,Dense
200,320,389,Dense
200,320,327,Dense
200,640,2152,Dense
200,640,2339,Dense
200,640,2402,Dense
200,640,2043,Dense
200,640,2121,Dense
200,640,2121,Dense
200,640,2121,Dense
200,640,2027,Dense
200,640,2074,Dense
200,640,2323,Dense
200,1280,15000,Dense
200,1280,15000,Dense
200,1280,15000,Dense
200,1280,15000,Dense
200,1280,15000,Dense
200,1280,15000,Dense
200,1280,15000,Dense
200,1280,15000,Dense
200,1280,15000,Dense
200,1280,15000,Dense
400,10,156,Dense
400,10,186,Dense
400,10,170,Dense
400,10,202,Dense
400,10,171,Dense
400,10,156,Dense
400,10,187,Dense
400,10,170,Dense
400,10,171,Dense
400,10,217,Dense
400,20,186,Dense
400,20,186,Dense
400,20,187,Dense
400,20,312,Dense
400,20,186,Dense
400,20,155,Dense
400,20,202,Dense
400,20,170,Dense
400,20,170,Dense
400,20,171,Dense
400,40,155,Dense
400,40,140,Dense
400,40,156,Dense
400,40,155,Dense
400,40,139,Dense
400,40,171,Dense
400,40,171,Dense
400,40,202,Dense
400,40,186,Dense
400,40,155,Dense
400,80,186,Dense
400,80,155,Dense
400,80,187,Dense
400,80,202,Dense
400,80,171,Dense
400,80,171,Dense
400,80,155,Dense
400,80,171,Dense
400,80,171,Dense
400,80,171,Dense
400,160,218,Dense
400,160,171,Dense
400,160,217,Dense
400,160,140,Dense
400,160,171,Dense
400,160,405,Dense
400,160,187,Dense
400,160,186,Dense
400,160,186,Dense
400,160,186,Dense
400,320,249,Dense
400,320,327,Dense
400,320,311,Dense
400,320,296,Dense
400,320,296,Dense
400,320,264,Dense
400,320,280,Dense
400,320,280,Dense
400,320,296,Dense
400,320,296,Dense
400,640,1201,Dense
400,640,1279,Dense
400,640,1372,Dense
400,640,1294,Dense
400,640,1387,Dense
400,640,1357,Dense
400,640,1544,Dense
400,640,1341,Dense
400,640,1404,Dense
400,640,1356,Dense
400,1280,14055,Dense
400,1280,14242,Dense
400,1280,13743,Dense
400,1280,13555,Dense
400,1280,13945,Dense
400,1280,13836,Dense
400,1280,13743,Dense
400,1280,15000,Dense
400,1280,13914,Dense
400,1280,15000,Dense
800,10,139,Dense
800,10,186,Dense
800,10,155,Dense
800,10,187,Dense
800,10,170,Dense
800,10,155,Dense
800,10,187,Dense
800,10,171,Dense
800,10,140,Dense
800,10,155,Dense
800,20,171,Dense
800,20,139,Dense
800,20,592,Dense
800,20,139,Dense
800,20,186,Dense
800,20,155,Dense
800,20,483,Dense
800,20,186,Dense
800,20,171,Dense
800,20,171,Dense
800,40,156,Dense
800,40,186,Dense
800,40,155,Dense
800,40,187,Dense
800,40,171,Dense
800,40,171,Dense
800,40,171,Dense
800,40,187,Dense
800,40,171,Dense
800,40,171,Dense
800,80,170,Dense
800,80,171,Dense
800,80,140,Dense
800,80,202,Dense
800,80,156,Dense
800,80,187,Dense
800,80,170,Dense
800,80,171,Dense
800,80,186,Dense
800,80,155,Dense
800,160,186,Dense
800,160,171,Dense
800,160,171,Dense
800,160,186,Dense
800,160,202,Dense
800,160,155,Dense
800,160,187,Dense
800,160,202,Dense
800,160,202,Dense
800,160,186,Dense
800,320,280,Dense
800,320,295,Dense
800,320,265,Dense
800,320,249,Dense
800,320,264,Dense
800,320,264,Dense
800,320,280,Dense
800,320,249,Dense
800,320,280,Dense
800,320,265,Dense
800,640,920,Dense
800,640,982,Dense
800,640,857,Dense
800,640,904,Dense
800,640,904,Dense
800,640,873,Dense
800,640,904,Dense
800,640,888,Dense
800,640,889,Dense
800,640,920,Dense
800,1280,8283,Dense
800,1280,8127,Dense
800,1280,8626,Dense
800,1280,8189,Dense
800,1280,8314,Dense
800,1280,8267,Dense
800,1280,9031,Dense
800,1280,8220,Dense
800,1280,8751,Dense
800,1280,7878,Dense
1600,10,171,Dense
1600,10,156,Dense
1600,10,202,Dense
1600,10,171,Dense
1600,10,186,Dense
1600,10,202,Dense
1600,10,171,Dense
1600,10,187,Dense
1600,10,186,Dense
1600,10,202,Dense
1600,20,170,Dense
1600,20,187,Dense
1600,20,186,Dense
1600,20,155,Dense
1600,20,186,Dense
1600,20,217,Dense
1600,20,155,Dense
1600,20,186,Dense
1600,20,233,Dense
1600,20,218,Dense
1600,40,202,Dense
1600,40,202,Dense
1600,40,202,Dense
1600,40,171,Dense
1600,40,155,Dense
1600,40,140,Dense
1600,40,155,Dense
1600,40,202,Dense
1600,40,187,Dense
1600,40,170,Dense
1600,80,186,Dense
1600,80,187,Dense
1600,80,170,Dense
1600,80,171,Dense
1600,80,171,Dense
1600,80,186,Dense
1600,80,171,Dense
1600,80,202,Dense
1600,80,186,Dense
1600,80,186,Dense
1600,160,202,Dense
1600,160,186,Dense
1600,160,233,Dense
1600,160,218,Dense
1600,160,218,Dense
1600,160,202,Dense
1600,160,202,Dense
1600,160,233,Dense
1600,160,202,Dense
1600,160,186,Dense
1600,320,390,Dense
1600,320,248,Dense
1600,320,249,Dense
