n,m,time,name
100,10,124,Quad
100,10,108,Quad
100,10,108,Quad
100,10,92,Quad
100,10,124,Quad
100,10,93,Quad
100,10,124,Quad
100,10,124,Quad
100,10,108,Quad
100,10,92,Quad
100,20,124,Quad
100,20,109,Quad
100,20,108,Quad
100,20,108,Quad
100,20,109,Quad
100,20,108,Quad
100,20,109,Quad
100,20,109,Quad
100,20,109,Quad
100,20,124,Quad
100,40,109,Quad
100,40,108,Quad
100,40,124,Quad
100,40,109,Quad
100,40,108,Quad
100,40,108,Quad
100,40,93,Quad
100,40,108,Quad
100,40,108,Quad
100,40,108,Quad
100,80,109,Quad
100,80,108,Quad
100,80,109,Quad
100,80,92,Quad
100,80,124,Quad
100,80,155,Quad
100,80,124,Quad
100,80,108,Quad
100,80,92,Quad
100,80,139,Quad
100,160,124,Quad
100,160,139,Quad
100,160,124,Quad
100,160,124,Quad
100,160,108,Quad
100,160,124,Quad
100,160,124,Quad
100,160,124,Quad
100,160,109,Quad
100,160,155,Quad
100,320,170,Quad
100,320,156,Quad
100,320,155,Quad
100,320,171,Quad
100,320,171,Quad
100,320,171,Quad
100,320,155,Quad
100,320,171,Quad
100,320,155,Quad
100,320,170,Quad
100,640,327,Quad
100,640,701,Quad
100,640,295,Quad
100,640,295,Quad
100,640,311,Quad
100,640,311,Quad
100,640,311,Quad
100,640,296,Quad
100,640,326,Quad
100,640,327,Quad
100,1280,888,Quad
100,1280,936,Quad
100,1280,950,Quad
100,1280,920,Quad
100,1280,889,Quad
100,1280,935,Quad
100,1280,998,Quad
100,1280,888,Quad
100,1280,935,Quad
100,1280,888,Quad
200,10,124,Quad
200,10,93,Quad
200,10,108,Quad
200,10,108,Quad
200,10,108,Quad
200,10,108,Quad
200,10,108,Quad
200,10,124,Quad
200,10,139,Quad
200,10,109,Quad
200,20,124,Quad
200,20,109,Quad
200,20,93,Quad
200,20,108,Quad
200,20,108,Quad
200,20,92,Quad
200,20,92,Quad
200,20,92,Quad
200,20,124,Quad
200,20,109,Quad
200,40,156,Quad
200,40,108,Quad
200,40,124,Quad
200,40,93,Quad
200,40,108,Quad
200,40,108,Quad
200,40,108,Quad
200,40,124,Quad
200,40,140,Quad
200,40,93,Quad
200,80,108,Quad
200,80,139,Quad
200,80,108,Quad
200,80,109,Quad
200,80,109,Quad
200,80,124,Quad
200,80,109,Quad
200,80,109,Quad
200,80,108,Quad
200,80,124,Quad
200,160,124,Quad
200,160,140,Quad
200,160,109,Quad
200,160,124,Quad
200,160,140,Quad
200,160,109,Quad
200,160,108,Quad
200,160,124,Quad
200,160,124,Quad
200,160,108,Quad
200,320,155,Quad
200,320,156,Quad
200,320,187,Quad
200,320,155,Quad
200,320,249,Quad
200,320,170,Quad
200,320,171,Quad
200,320,171,Quad
200,320,155,Quad
200,320,186,Quad
200,640,311,Quad
200,640,327,Quad
200,640,311,Quad
200,640,311,Quad
200,640,327,Quad
200,640,358,Quad
200,640,327,Quad
200,640,311,Quad
200,640,327,Quad
200,640,342,Quad
200,1280,919,Quad
200,1280,982,Quad
200,1280,982,Quad
200,1280,1044,Quad
200,1280,1013,Quad
200,1280,1013,Quad
200,1280,966,Quad
200,1280,1044,Quad
200,1280,966,Quad
200,1280,967,Quad
400,10,140,Quad
400,10,92,Quad
400,10,108,Quad
400,10,93,Quad
400,10,155,Quad
400,10,108,Quad
400,10,109,Quad
400,10,140,Quad
400,10,124,Quad
400,10,108,Quad
400,20,92,Quad
400,20,92,Quad
400,20,108,Quad
400,20,108,Quad
400,20,108,Quad
