n,m,time,name
100,10,15,Sweeping
100,10,0,Sweeping
100,10,31,Sweeping
100,10,15,Sweeping
100,10,0,Sweeping
100,10,0,Sweeping
100,10,0,Sweeping
100,10,15,Sweeping
100,10,0,Sweeping
100,10,0,Sweeping
100,20,15,Sweeping
100,20,0,Sweeping
100,20,15,Sweeping
100,20,15,Sweeping
100,20,15,Sweeping
100,20,15,Sweeping
100,20,0,Sweeping
100,20,15,Sweeping
100,20,15,Sweeping
100,20,0,Sweeping
100,40,0,Sweeping
100,40,0,Sweeping
100,40,0,Sweeping
100,40,15,Sweeping
100,40,15,Sweeping
100,40,0,Sweeping
100,40,0,Sweeping
100,40,0,Sweeping
100,40,0,Sweeping
100,40,0,Sweeping
100,80,15,Sweeping
100,80,0,Sweeping
100,80,0,Sweeping
100,80,0,Sweeping
100,80,0,Sweeping
100,80,0,Sweeping
100,80,0,Sweeping
100,80,0,Sweeping
100,80,0,Sweeping
100,80,0,Sweeping
100,160,0,Sweeping
100,160,0,Sweeping
100,160,15,Sweeping
100,160,15,Sweeping
100,160,15,Sweeping
100,160,0,Sweeping
100,160,0,Sweeping
100,160,15,Sweeping
100,160,0,Sweeping
100,160,30,Sweeping
100,320,15,Sweeping
100,320,15,Sweeping
100,320,30,Sweeping
100,320,31,Sweeping
100,320,15,Sweeping
100,320,15,Sweeping
100,320,0,Sweeping
100,320,15,Sweeping
100,320,30,Sweeping
100,320,15,Sweeping
100,640,46,Sweeping
100,640,61,Sweeping
100,640,62,Sweeping
100,640,61,Sweeping
100,640,62,Sweeping
100,640,62,Sweeping
100,640,77,Sweeping
100,640,62,Sweeping
100,640,77,Sweeping
100,640,61,Sweeping
100,1280,217,Sweeping
100,1280,264,Sweeping
100,1280,234,Sweeping
100,1280,233,Sweeping
100,1280,280,Sweeping
100,1280,249,Sweeping
100,1280,265,Sweeping
100,1280,233,Sweeping
100,1280,265,Sweeping
100,1280,264,Sweeping
200,10,15,Sweeping
200,10,15,Sweeping
200,10,15,Sweeping
200,10,0,Sweeping
200,10,0,Sweeping
200,10,15,Sweeping
200,10,0,Sweeping
200,10,0,Sweeping
200,10,0,Sweeping
200,10,15,Sweeping
200,20,0,Sweeping
200,20,0,Sweeping
200,20,0,Sweeping
200,20,15,Sweeping
200,20,0,Sweeping
200,20,0,Sweeping
200,20,0,Sweeping
200,20,0,Sweeping
200,20,0,Sweeping
200,20,0,Sweeping
200,40,0,Sweeping
200,40,0,Sweeping
200,40,15,Sweeping
200,40,0,Sweeping
200,40,0,Sweeping
200,40,0,Sweeping
200,40,0,Sweeping
200,40,0,Sweeping
200,40,15,Sweeping
200,40,0,Sweeping
200,80,30,Sweeping
200,80,0,Sweeping
200,80,15,Sweeping
200,80,15,Sweeping
200,80,0,Sweeping
200,80,30,Sweeping
200,80,31,Sweeping
200,80,15,Sweeping
200,80,15,Sweeping
200,80,0,Sweeping
200,160,15,Sweeping
200,160,30,Sweeping
200,160,15,Sweeping
200,160,15,Sweeping
200,160,15,Sweeping
200,160,15,Sweeping
200,160,15,Sweeping
200,160,15,Sweeping
200,160,15,Sweeping
200,160,0,Sweeping
200,320,15,Sweeping
200,320,15,Sweeping
200,320,15,Sweeping
200,320,30,Sweeping
200,320,31,Sweeping
200,320,15,Sweeping
200,320,15,Sweeping
200,320,46,Sweeping
200,320,15,Sweeping
200,320,15,Sweeping
200,640,77,Sweeping
200,640,77,Sweeping
200,640,77,Sweeping
200,640,78,Sweeping
200,640,61,Sweeping
200,640,61,Sweeping
200,640,62,Sweeping
200,640,93,Sweeping
200,640,77,Sweeping
200,640,77,Sweeping
200,1280,264,Sweeping
200,1280,265,Sweeping
200,1280,264,Sweeping
200,1280,264,Sweeping
200,1280,295,Sweeping
200,1280,264,Sweeping
200,1280,280,Sweeping
200,1280,280,Sweeping
200,1280,311,Sweeping
200,1280,249,Sweeping
400,10,0,Sweeping
400,10,0,Sweeping
400,10,0,Sweeping
400,10,0,Sweeping
400,10,15,Sweeping
400,10,0,Sweeping
400,10,0,Sweeping
400,10,0,Sweeping
400,10,30,Sweeping
400,10,0,Sweeping
400,20,0,Sweeping
400,20,0,Sweeping
400,20,15,Sweeping
400,20,0,Sweeping
400,20,0,Sweeping
400,20,15,Sweeping
400,20,0,Sweeping
400,20,0,Sweeping
400,20,0,Sweeping
400,20,30,Sweeping
400,40,15,Sweeping
400,40,15,Sweeping
400,40,0,Sweeping
400,40,0,Sweeping
400,40,0,Sweeping
400,40,15,Sweeping
400,40,0,Sweeping
400,40,15,Sweeping
400,40,15,Sweeping
400,40,15,Sweeping
400,80,15,Sweeping
400,80,0,Sweeping
400,80,31,Sweeping
400,80,15,Sweeping
400,80,31,Sweeping
400,80,15,Sweeping
400,80,15,Sweeping
400,80,0,Sweeping
400,80,15,Sweeping
400,80,15,Sweeping
400,160,15,Sweeping
400,160,0,Sweeping
400,160,15,Sweeping
400,160,15,Sweeping
400,160,15,Sweeping
400,160,31,Sweeping
400,160,15,Sweeping
400,160,15,Sweeping
400,160,15,Sweeping
400,160,15,Sweeping
400,320,30,Sweeping
