n,m,time,name
100,1000,265,Naive
100,1000,280,Naive
100,1000,264,Naive
100,1000,280,Naive
100,1000,280,Naive
100,1000,280,Naive
100,1000,265,Naive
100,1000,280,Naive
100,1000,249,Naive
100,1000,280,Naive
126,1000,327,Naive
126,1000,389,Naive
126,1000,280,Naive
126,1000,311,Naive
126,1000,311,Naive
126,1000,327,Naive
126,1000,311,Naive
126,1000,327,Naive
126,1000,311,Naive
126,1000,343,Naive
158,1000,390,Naive
158,1000,389,Naive
158,1000,389,Naive
158,1000,389,Naive
158,1000,374,Naive
158,1000,389,Naive
158,1000,358,Naive
158,1000,389,Naive
158,1000,482,Naive
158,1000,389,Naive
200,1000,436,Naive
200,1000,436,Naive
200,1000,483,Naive
200,1000,451,Naive
200,1000,436,Naive
200,1000,467,Naive
200,1000,405,Naive
200,1000,483,Naive
200,1000,436,Naive
200,1000,452,Naive
252,1000,530,Naive
252,1000,545,Naive
252,1000,560,Naive
252,1000,530,Naive
252,1000,545,Naive
252,1000,514,Naive
252,1000,529,Naive
252,1000,529,Naive
252,1000,514,Naive
252,1000,608,Naive
317,1000,670,Naive
317,1000,623,Naive
317,1000,639,Naive
317,1000,654,Naive
317,1000,670,Naive
317,1000,654,Naive
317,1000,623,Naive
317,1000,639,Naive
317,1000,623,Naive
317,1000,623,Naive
400,1000,779,Naive
400,1000,763,Naive
400,1000,795,Naive
400,1000,779,Naive
400,1000,733,Naive
400,1000,779,Naive
400,1000,748,Naive
400,1000,779,Naive
400,1000,779,Naive
400,1000,794,Naive
504,1000,950,Naive
504,1000,966,Naive
504,1000,966,Naive
504,1000,935,Naive
504,1000,935,Naive
504,1000,935,Naive
504,1000,967,Naive
504,1000,966,Naive
504,1000,966,Naive
504,1000,935,Naive
635,1000,1154,Naive
635,1000,1216,Naive
635,1000,1107,Naive
635,1000,1138,Naive
635,1000,1154,Naive
635,1000,1122,Naive
635,1000,1169,Naive
635,1000,1153,Naive
635,1000,1138,Naive
635,1000,1201,Naive
