M,ac_bfs.cpp,ac_dense.cpp,ac_dense_merge.cpp,ac_sweep.cpp,dijkstra_two.cpp,naive.cpp
10,141.5,236.4,178.5,139.9,86.9,77.6
12,139.8,237.7,173.8,146.2,77.7,76.2
15,141.4,231.6,180,150.7,76.1,76.1
20,155.6,228.8,178.4,138.1,82.3,82.3
25,144.6,231.5,178.8,142.7,72.7,96.2
31,143.1,237.9,181.6,144.4,83.9,82.4
40,136.7,229.9,178.6,144.6,87,93
50,139.9,234.8,177.1,141.4,82.1,110.3
63,149.5,238,178.6,143.2,79.2,133.5
80,149.5,241,180.1,147.6,83.9,181.9
100,152.2,231.7,189.5,141.4,82.3,247.4
127,157.1,258.4,195.7,144.4,88.6,327.1
160,150.8,256.5,214.7,143.1,90.1,484.5
201,154.1,265.8,219.2,149.3,113,723.6
254,166.6,283.2,231.6,160.3,119.3,1111.6
320,163.5,314.5,273.8,158.5,155.4,1710.6
403,185,359.5,309.9,172.7,195.7,2688.6
508,195.9,421.9,373.7,189.7,281.6,4194.2
640,222.6,559.2,510.8,217.8,425.1,6529.4
807,280,787.1,676.3,253.5,674.6,10488.7
1017,365.9,1158.4,910.2,325.1,1108.4,TLE
1281,495.2,1988.1,1390.4,421.9,1644.9,TLE
1614,707.3,3623.2,2018,598.1,2607.8,TLE
2034,1042.8,7143.9,2969.5,841.6,4360.9,TLE
2563,1564,14784.666666666666,4691.5,1248.9,7000.4,TLE
3230,2415.6,TLE,7158,1883.7,11429.3,TLE
4070,3812,TLE,10774.2,2868,TLE,TLE
