N,ac_bfs.cpp,ac_dense.cpp,ac_dense_merge.cpp,ac_sweep.cpp,dijkstra_two.cpp,naive.cpp
100,172.4,TLE,571.8,158.4,641.8,272.3
126,188,TLE,585.5,155.4,651.3,323.7
158,177,12501.777777777777,588.9,150.6,666.8,393.8
200,185.1,10454.3,623.4,167.8,723.2,448.5
252,177,8529,638.7,158.6,701.1,540.4
317,195.9,6975.6,623.2,158.5,695.1,641.8
400,191.2,5738.3,645.2,156.9,629.5,772.8
504,195.6,4811.7,656,167.6,677.7,952.1
635,194.1,4120.6,665.3,172.7,702.8,1155.2
800,205,3454.4,684,181.7,730.9,1414
1008,205.3,2946.1,704.4,174.1,752.6,1744.9
1270,215.9,2565.5,701.3,184.8,797.9,2164.4
1601,223.8,2236.3,729.1,202.1,799.4,2691.8
2017,227.1,1940,746.5,195.8,793.1,3340.5
2542,245.6,1719.8,757.4,208.1,826,4170.6
3203,269,1604.5,793.1,208.2,860.3,5180.1
4035,262.8,1457.7,804.2,236.4,894.4,6619.6
5085,290.8,1344.2,816.9,245.7,851,8256.2
6407,311.3,1247.2,858.7,272.2,904.1,10313.7
8073,347.3,1191.2,907.2,286.3,949.2,12922.1
10172,359.7,1166.1,897.8,328.4,983.5,TLE
12816,406.4,1150.6,929.1,359.6,1014.7,TLE
16149,434.5,1116.3,983.5,411.2,1103.6,TLE
20348,514.1,1139.6,1022.4,468.9,1173.9,TLE
25638,587.7,1156.8,1089.7,559.1,1234.8,TLE
32304,698.1,1184.9,1127,649.8,1295.3,TLE
40703,843,1261,1211.4,768,1442,TLE
51286,997.6,1318.8,1314.3,927.3,1529.6,TLE
64621,1197.2,1482.7,1421.8,1110.1,1684,TLE
81422,1463.8,1601.3,1579.7,1396.9,1919.5,TLE
102592,1777.3,1773.1,1744.8,1693.3,2005.5,TLE
