N,M,time,name
10000,10,141.5,ac_bfs.cpp
10000,12,139.8,ac_bfs.cpp
10000,15,141.4,ac_bfs.cpp
10000,20,155.6,ac_bfs.cpp
10000,25,144.6,ac_bfs.cpp
10000,31,143.1,ac_bfs.cpp
10000,40,136.7,ac_bfs.cpp
10000,50,139.9,ac_bfs.cpp
10000,63,149.5,ac_bfs.cpp
10000,80,149.5,ac_bfs.cpp
10000,100,152.2,ac_bfs.cpp
10000,127,157.1,ac_bfs.cpp
10000,160,150.8,ac_bfs.cpp
10000,201,154.1,ac_bfs.cpp
10000,254,166.6,ac_bfs.cpp
10000,320,163.5,ac_bfs.cpp
10000,403,185,ac_bfs.cpp
10000,508,195.9,ac_bfs.cpp
10000,640,222.6,ac_bfs.cpp
10000,807,280,ac_bfs.cpp
10000,1017,365.9,ac_bfs.cpp
10000,1281,495.2,ac_bfs.cpp
10000,1614,707.3,ac_bfs.cpp
10000,2034,1042.8,ac_bfs.cpp
10000,2563,1564,ac_bfs.cpp
10000,3230,2415.6,ac_bfs.cpp
10000,4070,3812,ac_bfs.cpp
10000,10,236.4,ac_dense.cpp
10000,12,237.7,ac_dense.cpp
10000,15,231.6,ac_dense.cpp
10000,20,228.8,ac_dense.cpp
10000,25,231.5,ac_dense.cpp
10000,31,237.9,ac_dense.cpp
10000,40,229.9,ac_dense.cpp
10000,50,234.8,ac_dense.cpp
10000,63,238,ac_dense.cpp
10000,80,241,ac_dense.cpp
10000,100,231.7,ac_dense.cpp
10000,127,258.4,ac_dense.cpp
10000,160,256.5,ac_dense.cpp
10000,201,265.8,ac_dense.cpp
10000,254,283.2,ac_dense.cpp
10000,320,314.5,ac_dense.cpp
10000,403,359.5,ac_dense.cpp
10000,508,421.9,ac_dense.cpp
10000,640,559.2,ac_dense.cpp
10000,807,787.1,ac_dense.cpp
10000,1017,1158.4,ac_dense.cpp
10000,1281,1988.1,ac_dense.cpp
10000,1614,3623.2,ac_dense.cpp
10000,2034,7143.9,ac_dense.cpp
10000,2563,14784.666666666666,ac_dense.cpp
10000,3230,TLE,ac_dense.cpp
10000,4070,TLE,ac_dense.cpp
10000,10,178.5,ac_dense_merge.cpp
10000,12,173.8,ac_dense_merge.cpp
10000,15,180,ac_dense_merge.cpp
10000,20,178.4,ac_dense_merge.cpp
10000,25,178.8,ac_dense_merge.cpp
10000,31,181.6,ac_dense_merge.cpp
10000,40,178.6,ac_dense_merge.cpp
10000,50,177.1,ac_dense_merge.cpp
10000,63,178.6,ac_dense_merge.cpp
10000,80,180.1,ac_dense_merge.cpp
10000,100,189.5,ac_dense_merge.cpp
10000,127,195.7,ac_dense_merge.cpp
10000,160,214.7,ac_dense_merge.cpp
10000,201,219.2,ac_dense_merge.cpp
10000,254,231.6,ac_dense_merge.cpp
10000,320,273.8,ac_dense_merge.cpp
10000,403,309.9,ac_dense_merge.cpp
10000,508,373.7,ac_dense_merge.cpp
10000,640,510.8,ac_dense_merge.cpp
10000,807,676.3,ac_dense_merge.cpp
10000,1017,910.2,ac_dense_merge.cpp
10000,1281,1390.4,ac_dense_merge.cpp
10000,1614,2018,ac_dense_merge.cpp
10000,2034,2969.5,ac_dense_merge.cpp
10000,2563,4691.5,ac_dense_merge.cpp
10000,3230,7158,ac_dense_merge.cpp
10000,4070,10774.2,ac_dense_merge.cpp
10000,10,139.9,ac_sweep.cpp
10000,12,146.2,ac_sweep.cpp
10000,15,150.7,ac_sweep.cpp
10000,20,138.1,ac_sweep.cpp
10000,25,142.7,ac_sweep.cpp
10000,31,144.4,ac_sweep.cpp
10000,40,144.6,ac_sweep.cpp
10000,50,141.4,ac_sweep.cpp
10000,63,143.2,ac_sweep.cpp
10000,80,147.6,ac_sweep.cpp
