N,M,time,name
100,1000,172.4,ac_bfs.cpp
126,1000,188,ac_bfs.cpp
158,1000,177,ac_bfs.cpp
200,1000,185.1,ac_bfs.cpp
252,1000,177,ac_bfs.cpp
317,1000,195.9,ac_bfs.cpp
400,1000,191.2,ac_bfs.cpp
504,1000,195.6,ac_bfs.cpp
635,1000,194.1,ac_bfs.cpp
800,1000,205,ac_bfs.cpp
1008,1000,205.3,ac_bfs.cpp
1270,1000,215.9,ac_bfs.cpp
1601,1000,223.8,ac_bfs.cpp
2017,1000,227.1,ac_bfs.cpp
2542,1000,245.6,ac_bfs.cpp
3203,1000,269,ac_bfs.cpp
4035,1000,262.8,ac_bfs.cpp
5085,1000,290.8,ac_bfs.cpp
6407,1000,311.3,ac_bfs.cpp
8073,1000,347.3,ac_bfs.cpp
10172,1000,359.7,ac_bfs.cpp
12816,1000,406.4,ac_bfs.cpp
16149,1000,434.5,ac_bfs.cpp
20348,1000,514.1,ac_bfs.cpp
25638,1000,587.7,ac_bfs.cpp
32304,1000,698.1,ac_bfs.cpp
40703,1000,843,ac_bfs.cpp
51286,1000,997.6,ac_bfs.cpp
64621,1000,1197.2,ac_bfs.cpp
81422,1000,1463.8,ac_bfs.cpp
102592,1000,1777.3,ac_bfs.cpp
100,1000,TLE,ac_dense.cpp
126,1000,TLE,ac_dense.cpp
158,1000,12501.777777777777,ac_dense.cpp
200,1000,10454.3,ac_dense.cpp
252,1000,8529,ac_dense.cpp
317,1000,6975.6,ac_dense.cpp
400,1000,5738.3,ac_dense.cpp
504,1000,4811.7,ac_dense.cpp
635,1000,4120.6,ac_dense.cpp
800,1000,3454.4,ac_dense.cpp
1008,1000,2946.1,ac_dense.cpp
1270,1000,2565.5,ac_dense.cpp
1601,1000,2236.3,ac_dense.cpp
2017,1000,1940,ac_dense.cpp
2542,1000,1719.8,ac_dense.cpp
3203,1000,1604.5,ac_dense.cpp
4035,1000,1457.7,ac_dense.cpp
5085,1000,1344.2,ac_dense.cpp
6407,1000,1247.2,ac_dense.cpp
8073,1000,1191.2,ac_dense.cpp
10172,1000,1166.1,ac_dense.cpp
12816,1000,1150.6,ac_dense.cpp
16149,1000,1116.3,ac_dense.cpp
20348,1000,1139.6,ac_dense.cpp
25638,1000,1156.8,ac_dense.cpp
32304,1000,1184.9,ac_dense.cpp
40703,1000,1261,ac_dense.cpp
51286,1000,1318.8,ac_dense.cpp
64621,1000,1482.7,ac_dense.cpp
81422,1000,1601.3,ac_dense.cpp
102592,1000,1773.1,ac_dense.cpp
100,1000,571.8,ac_dense_merge.cpp
126,1000,585.5,ac_dense_merge.cpp
158,1000,588.9,ac_dense_merge.cpp
200,1000,623.4,ac_dense_merge.cpp
252,1000,638.7,ac_dense_merge.cpp
317,1000,623.2,ac_dense_merge.cpp
400,1000,645.2,ac_dense_merge.cpp
504,1000,656,ac_dense_merge.cpp
635,1000,665.3,ac_dense_merge.cpp
800,1000,684,ac_dense_merge.cpp
1008,1000,704.4,ac_dense_merge.cpp
1270,1000,701.3,ac_dense_merge.cpp
1601,1000,729.1,ac_dense_merge.cpp
2017,1000,746.5,ac_dense_merge.cpp
2542,1000,757.4,ac_dense_merge.cpp
3203,1000,793.1,ac_dense_merge.cpp
4035,1000,804.2,ac_dense_merge.cpp
5085,1000,816.9,ac_dense_merge.cpp
6407,1000,858.7,ac_dense_merge.cpp
8073,1000,907.2,ac_dense_merge.cpp
10172,1000,897.8,ac_dense_merge.cpp
12816,1000,929.1,ac_dense_merge.cpp
16149,1000,983.5,ac_dense_merge.cpp
20348,1000,1022.4,ac_dense_merge.cpp
25638,1000,1089.7,ac_dense_merge.cpp
32304,1000,1127,ac_dense_merge.cpp
40703,1000,1211.4,ac_dense_merge.cpp
51286,1000,1314.3,ac_dense_merge.cpp
64621,1000,1421.8,ac_dense_merge.cpp
81422,1000,1579.7,ac_dense_merge.cpp
102592,1000,1744.8,ac_dense_merge.cpp
100,1000,158.4,ac_sweep.cpp
126,1000,155.4,ac_sweep.cpp
158,1000,150.6,ac_sweep.cpp
200,1000,167.8,ac_sweep.cpp
252,1000,158.6,ac_sweep.cpp
317,1000,158.5,ac_sweep.cpp
400,1000,156.9,ac_sweep.cpp
504,1000,167.6,ac_sweep.cpp
635,1000,172.7,ac_sweep.cpp
800,1000,181.7,ac_sweep.cpp
1008,1000,174.1,ac_sweep.cpp
1270,1000,184.8,ac_sweep.cpp
1601,1000,202.1,ac_sweep.cpp
