n,m,time,name
100,10,15,Dijkstra
100,10,0,Dijkstra
100,10,0,Dijkstra
100,10,0,Dijkstra
100,10,0,Dijkstra
100,10,0,Dijkstra
100,10,15,Dijkstra
100,10,15,Dijkstra
100,10,0,Dijkstra
100,10,15,Dijkstra
100,20,0,Dijkstra
100,20,0,Dijkstra
100,20,0,Dijkstra
100,20,0,Dijkstra
100,20,0,Dijkstra
100,20,0,Dijkstra
100,20,15,Dijkstra
100,20,0,Dijkstra
100,20,0,Dijkstra
100,20,0,Dijkstra
100,40,0,Dijkstra
100,40,15,Dijkstra
100,40,0,Dijkstra
100,40,0,Dijkstra
100,40,15,Dijkstra
100,40,0,Dijkstra
100,40,0,Dijkstra
100,40,15,Dijkstra
100,40,0,Dijkstra
100,40,0,Dijkstra
100,80,15,Dijkstra
100,80,0,Dijkstra
100,80,0,Dijkstra
100,80,15,Dijkstra
100,80,0,Dijkstra
100,80,0,Dijkstra
100,80,0,Dijkstra
100,80,0,Dijkstra
100,80,15,Dijkstra
100,80,0,Dijkstra
100,160,0,Dijkstra
100,160,0,Dijkstra
100,160,15,Dijkstra
100,160,0,Dijkstra
100,160,15,Dijkstra
100,160,15,Dijkstra
100,160,15,Dijkstra
100,160,15,Dijkstra
100,160,15,Dijkstra
100,160,0,Dijkstra
100,320,61,Dijkstra
100,320,31,Dijkstra
100,320,46,Dijkstra
100,320,62,Dijkstra
100,320,62,Dijkstra
100,320,31,Dijkstra
100,320,46,Dijkstra
100,320,46,Dijkstra
100,320,46,Dijkstra
100,320,62,Dijkstra
100,640,249,Dijkstra
100,640,233,Dijkstra
100,640,233,Dijkstra
100,640,264,Dijkstra
100,640,233,Dijkstra
100,640,233,Dijkstra
100,640,202,Dijkstra
100,640,233,Dijkstra
100,640,249,Dijkstra
100,640,249,Dijkstra
100,1280,1107,Dijkstra
100,1280,1185,Dijkstra
100,1280,1075,Dijkstra
100,1280,997,Dijkstra
100,1280,1060,Dijkstra
100,1280,1107,Dijkstra
100,1280,1278,Dijkstra
100,1280,1075,Dijkstra
100,1280,1138,Dijkstra
100,1280,1185,Dijkstra
200,10,15,Dijkstra
200,10,0,Dijkstra
200,10,0,Dijkstra
200,10,0,Dijkstra
200,10,0,Dijkstra
200,10,0,Dijkstra
200,10,0,Dijkstra
200,10,0,Dijkstra
200,10,15,Dijkstra
200,10,15,Dijkstra
200,20,0,Dijkstra
200,20,15,Dijkstra
200,20,0,Dijkstra
200,20,0,Dijkstra
200,20,0,Dijkstra
200,20,15,Dijkstra
200,20,0,Dijkstra
200,20,15,Dijkstra
200,20,15,Dijkstra
200,20,0,Dijkstra
200,40,15,Dijkstra
200,40,0,Dijkstra
200,40,0,Dijkstra
200,40,0,Dijkstra
200,40,15,Dijkstra
200,40,0,Dijkstra
200,40,15,Dijkstra
200,40,0,Dijkstra
200,40,0,Dijkstra
200,40,15,Dijkstra
200,80,15,Dijkstra
200,80,0,Dijkstra
200,80,0,Dijkstra
200,80,0,Dijkstra
200,80,0,Dijkstra
200,80,0,Dijkstra
200,80,0,Dijkstra
200,80,0,Dijkstra
200,80,0,Dijkstra
200,80,0,Dijkstra
200,160,30,Dijkstra
200,160,15,Dijkstra
200,160,15,Dijkstra
200,160,15,Dijkstra
200,160,15,Dijkstra
200,160,15,Dijkstra
200,160,30,Dijkstra
200,160,31,Dijkstra
200,160,15,Dijkstra
200,160,15,Dijkstra
200,320,31,Dijkstra
200,320,78,Dijkstra
200,320,61,Dijkstra
200,320,46,Dijkstra
200,320,62,Dijkstra
200,320,46,Dijkstra
200,320,46,Dijkstra
200,320,62,Dijkstra
200,320,62,Dijkstra
200,320,62,Dijkstra
200,640,249,Dijkstra
200,640,265,Dijkstra
200,640,218,Dijkstra
200,640,280,Dijkstra
200,640,264,Dijkstra
200,640,296,Dijkstra
200,640,218,Dijkstra
200,640,264,Dijkstra
200,640,233,Dijkstra
200,640,264,Dijkstra
200,1280,1076,Dijkstra
200,1280,1201,Dijkstra
200,1280,1154,Dijkstra
200,1280,1263,Dijkstra
200,1280,1060,Dijkstra
200,1280,1200,Dijkstra
200,1280,1107,Dijkstra
200,1280,1076,Dijkstra
200,1280,1060,Dijkstra
200,1280,1107,Dijkstra
400,10,0,Dijkstra
400,10,0,Dijkstra
400,10,0,Dijkstra
400,10,0,Dijkstra
400,10,0,Dijkstra
400,10,0,Dijkstra
400,10,0,Dijkstra
400,10,0,Dijkstra
400,10,0,Dijkstra
400,10,0,Dijkstra
400,20,0,Dijkstra
400,20,15,Dijkstra
400,20,15,Dijkstra
400,20,15,Dijkstra
400,20,15,Dijkstra
400,20,0,Dijkstra
400,20,0,Dijkstra
400,20,15,Dijkstra
400,20,0,Dijkstra
400,20,15,Dijkstra
400,40,0,Dijkstra
400,40,0,Dijkstra
400,40,15,Dijkstra
400,40,0,Dijkstra
400,40,0,Dijkstra
400,40,15,Dijkstra
400,40,15,Dijkstra
400,40,0,Dijkstra
400,40,15,Dijkstra
400,40,15,Dijkstra
400,80,0,Dijkstra
400,80,0,Dijkstra
400,80,15,Dijkstra
400,80,15,Dijkstra
400,80,0,Dijkstra
400,80,0,Dijkstra
400,80,0,Dijkstra
400,80,15,Dijkstra
400,80,0,Dijkstra
400,80,15,Dijkstra
400,160,15,Dijkstra
400,160,15,Dijkstra
400,160,15,Dijkstra
400,160,31,Dijkstra
400,160,31,Dijkstra
400,160,30,Dijkstra
400,160,46,Dijkstra
400,160,0,Dijkstra
400,160,30,Dijkstra
400,160,31,Dijkstra
400,320,77,Dijkstra
400,320,62,Dijkstra
400,320,62,Dijkstra
400,320,62,Dijkstra
400,320,61,Dijkstra
400,320,77,Dijkstra
400,320,62,Dijkstra
400,320,61,Dijkstra
400,320,62,Dijkstra
400,320,77,Dijkstra
400,640,249,Dijkstra
400,640,280,Dijkstra
400,640,296,Dijkstra
400,640,295,Dijkstra
400,640,280,Dijkstra
400,640,280,Dijkstra
400,640,265,Dijkstra
400,640,296,Dijkstra
400,640,264,Dijkstra
400,640,234,Dijkstra
400,1280,1263,Dijkstra
400,1280,1216,Dijkstra
400,1280,1325,Dijkstra
400,1280,1216,Dijkstra
400,1280,1154,Dijkstra
400,1280,1184,Dijkstra
400,1280,1201,Dijkstra
400,1280,1294,Dijkstra
400,1280,1185,Dijkstra
400,1280,1200,Dijkstra
800,10,0,Dijkstra
800,10,15,Dijkstra
800,10,0,Dijkstra
800,10,31,Dijkstra
800,10,30,Dijkstra
800,10,0,Dijkstra
800,10,15,Dijkstra
800,10,15,Dijkstra
800,10,0,Dijkstra
800,10,0,Dijkstra
800,20,15,Dijkstra
800,20,0,Dijkstra
800,20,0,Dijkstra
800,20,0,Dijkstra
800,20,15,Dijkstra
800,20,0,Dijkstra
800,20,15,Dijkstra
800,20,15,Dijkstra
800,20,0,Dijkstra
800,20,0,Dijkstra
800,40,0,Dijkstra
800,40,15,Dijkstra
800,40,0,Dijkstra
800,40,15,Dijkstra
800,40,15,Dijkstra
800,40,15,Dijkstra
800,40,0,Dijkstra
800,40,15,Dijkstra
800,40,15,Dijkstra
800,40,15,Dijkstra
800,80,15,Dijkstra
800,80,15,Dijkstra
800,80,0,Dijkstra
800,80,15,Dijkstra
800,80,0,Dijkstra
800,80,15,Dijkstra
800,80,31,Dijkstra
800,80,0,Dijkstra
800,80,0,Dijkstra
800,80,0,Dijkstra
800,160,15,Dijkstra
800,160,15,Dijkstra
800,160,31,Dijkstra
800,160,15,Dijkstra
800,160,30,Dijkstra
800,160,15,Dijkstra
800,160,31,Dijkstra
800,160,15,Dijkstra
800,160,30,Dijkstra
800,160,31,Dijkstra
800,320,77,Dijkstra
800,320,78,Dijkstra
800,320,61,Dijkstra
800,320,61,Dijkstra
800,320,78,Dijkstra
800,320,46,Dijkstra
800,320,62,Dijkstra
800,320,46,Dijkstra
800,320,46,Dijkstra
800,320,93,Dijkstra
800,640,342,Dijkstra
800,640,327,Dijkstra
800,640,327,Dijkstra
800,640,249,Dijkstra
800,640,264,Dijkstra
800,640,249,Dijkstra
800,640,265,Dijkstra
800,640,280,Dijkstra
800,640,295,Dijkstra
800,640,280,Dijkstra
800,1280,1559,Dijkstra
800,1280,1325,Dijkstra
800,1280,1310,Dijkstra
800,1280,1310,Dijkstra
800,1280,1668,Dijkstra
800,1280,1309,Dijkstra
800,1280,1341,Dijkstra
800,1280,1201,Dijkstra
800,1280,1248,Dijkstra
800,1280,1419,Dijkstra
1600,10,0,Dijkstra
1600,10,0,Dijkstra
1600,10,15,Dijkstra
1600,10,0,Dijkstra
1600,10,0,Dijkstra
1600,10,15,Dijkstra
1600,10,15,Dijkstra
1600,10,15,Dijkstra
1600,10,15,Dijkstra
1600,10,15,Dijkstra
1600,20,30,Dijkstra
1600,20,0,Dijkstra
1600,20,46,Dijkstra
1600,20,0,Dijkstra
1600,20,0,Dijkstra
1600,20,15,Dijkstra
1600,20,15,Dijkstra
1600,20,31,Dijkstra
1600,20,15,Dijkstra
1600,20,15,Dijkstra
1600,40,15,Dijkstra
1600,40,31,Dijkstra
1600,40,15,Dijkstra
1600,40,15,Dijkstra
1600,40,31,Dijkstra
1600,40,15,Dijkstra
1600,40,15,Dijkstra
1600,40,31,Dijkstra
1600,40,30,Dijkstra
1600,40,15,Dijkstra
1600,80,31,Dijkstra
1600,80,15,Dijkstra
1600,80,15,Dijkstra
1600,80,15,Dijkstra
1600,80,15,Dijkstra
1600,80,15,Dijkstra
1600,80,31,Dijkstra
1600,80,30,Dijkstra
1600,80,15,Dijkstra
1600,80,30,Dijkstra
1600,160,31,Dijkstra
1600,160,31,Dijkstra
1600,160,31,Dijkstra
1600,160,46,Dijkstra
1600,160,31,Dijkstra
1600,160,31,Dijkstra
1600,160,30,Dijkstra
1600,160,30,Dijkstra
1600,160,31,Dijkstra
1600,160,15,Dijkstra
1600,320,62,Dijkstra
1600,320,77,Dijkstra
1600,320,93,Dijkstra
1600,320,62,Dijkstra
1600,320,77,Dijkstra
1600,320,108,Dijkstra
1600,320,93,Dijkstra
1600,320,78,Dijkstra
1600,320,93,Dijkstra
1600,320,78,Dijkstra
1600,640,373,Dijkstra
1600,640,312,Dijkstra
1600,640,327,Dijkstra
1600,640,342,Dijkstra
1600,640,358,Dijkstra
1600,640,311,Dijkstra
1600,640,280,Dijkstra
