n,m,time,name
100,10,0,Naive
100,10,0,Naive
100,10,0,Naive
100,10,0,Naive
100,10,0,Naive
100,10,0,Naive
100,10,15,Naive
100,10,15,Naive
100,10,0,Naive
100,10,0,Naive
100,20,0,Naive
100,20,0,Naive
100,20,0,Naive
100,20,15,Naive
100,20,0,Naive
100,20,31,Naive
100,20,15,Naive
100,20,15,Naive
100,20,0,Naive
100,20,0,Naive
100,40,0,Naive
100,40,15,Naive
100,40,0,Naive
100,40,0,Naive
100,40,0,Naive
100,40,0,Naive
100,40,0,Naive
100,40,0,Naive
100,40,15,Naive
100,40,15,Naive
100,80,15,Naive
100,80,0,Naive
100,80,15,Naive
100,80,15,Naive
100,80,15,Naive
100,80,0,Naive
100,80,15,Naive
100,80,0,Naive
100,80,0,Naive
100,80,15,Naive
100,160,15,Naive
100,160,15,Naive
100,160,15,Naive
100,160,31,Naive
100,160,15,Naive
100,160,15,Naive
100,160,15,Naive
100,160,0,Naive
100,160,0,Naive
100,160,15,Naive
100,320,31,Naive
100,320,31,Naive
100,320,31,Naive
100,320,30,Naive
100,320,30,Naive
100,320,31,Naive
100,320,46,Naive
100,320,31,Naive
100,320,31,Naive
100,320,31,Naive
100,640,109,Naive
100,640,124,Naive
100,640,108,Naive
100,640,93,Naive
100,640,124,Naive
100,640,124,Naive
100,640,109,Naive
100,640,108,Naive
100,640,108,Naive
100,640,139,Naive
100,1280,451,Naive
100,1280,483,Naive
100,1280,468,Naive
100,1280,404,Naive
100,1280,483,Naive
100,1280,545,Naive
100,1280,452,Naive
100,1280,436,Naive
100,1280,514,Naive
100,1280,436,Naive
200,10,0,Naive
200,10,0,Naive
200,10,0,Naive
200,10,15,Naive
200,10,0,Naive
200,10,15,Naive
200,10,15,Naive
200,10,0,Naive
200,10,0,Naive
200,10,0,Naive
200,20,0,Naive
200,20,0,Naive
200,20,15,Naive
200,20,15,Naive
200,20,0,Naive
200,20,15,Naive
200,20,0,Naive
200,20,0,Naive
200,20,0,Naive
200,20,0,Naive
200,40,15,Naive
200,40,0,Naive
200,40,15,Naive
200,40,0,Naive
200,40,0,Naive
200,40,15,Naive
200,40,0,Naive
200,40,0,Naive
200,40,15,Naive
200,40,0,Naive
200,80,0,Naive
200,80,0,Naive
200,80,0,Naive
200,80,15,Naive
200,80,0,Naive
200,80,0,Naive
200,80,0,Naive
200,80,0,Naive
200,80,0,Naive
200,80,15,Naive
200,160,15,Naive
200,160,15,Naive
200,160,15,Naive
200,160,30,Naive
200,160,15,Naive
200,160,15,Naive
200,160,15,Naive
200,160,15,Naive
200,160,15,Naive
200,160,15,Naive
200,320,62,Naive
200,320,46,Naive
200,320,46,Naive
200,320,31,Naive
200,320,46,Naive
200,320,46,Naive
200,320,61,Naive
200,320,77,Naive
200,320,46,Naive
200,320,61,Naive
200,640,217,Naive
200,640,187,Naive
200,640,202,Naive
200,640,202,Naive
200,640,218,Naive
200,640,187,Naive
200,640,218,Naive
200,640,202,Naive
200,640,171,Naive
200,640,171,Naive
200,1280,748,Naive
200,1280,733,Naive
200,1280,763,Naive
200,1280,717,Naive
200,1280,733,Naive
200,1280,732,Naive
200,1280,748,Naive
200,1280,748,Naive
200,1280,763,Naive
200,1280,732,Naive
400,10,15,Naive
400,10,0,Naive
400,10,15,Naive
400,10,0,Naive
400,10,15,Naive
400,10,0,Naive
