n,m,time,name
100,10,0,Sparse
100,10,15,Sparse
100,10,0,Sparse
100,10,0,Sparse
100,10,0,Sparse
100,10,0,Sparse
100,10,15,Sparse
100,10,0,Sparse
100,10,0,Sparse
100,10,0,Sparse
100,20,0,Sparse
100,20,0,Sparse
100,20,0,Sparse
100,20,0,Sparse
100,20,0,Sparse
100,20,15,Sparse
100,20,0,Sparse
100,20,0,Sparse
100,20,15,Sparse
100,20,0,Sparse
100,40,15,Sparse
100,40,0,Sparse
100,40,15,Sparse
100,40,15,Sparse
100,40,0,Sparse
100,40,15,Sparse
100,40,0,Sparse
100,40,0,Sparse
100,40,0,Sparse
100,40,0,Sparse
100,80,0,Sparse
100,80,15,Sparse
100,80,0,Sparse
100,80,0,Sparse
100,80,0,Sparse
100,80,0,Sparse
100,80,0,Sparse
100,80,0,Sparse
100,80,15,Sparse
100,80,0,Sparse
100,160,0,Sparse
100,160,15,Sparse
100,160,15,Sparse
100,160,0,Sparse
100,160,15,Sparse
100,160,15,Sparse
100,160,0,Sparse
100,160,15,Sparse
100,160,31,Sparse
100,160,15,Sparse
100,320,15,Sparse
100,320,15,Sparse
100,320,31,Sparse
100,320,31,Sparse
100,320,31,Sparse
100,320,15,Sparse
100,320,15,Sparse
100,320,31,Sparse
100,320,46,Sparse
100,320,46,Sparse
100,640,93,Sparse
100,640,62,Sparse
100,640,77,Sparse
100,640,93,Sparse
100,640,77,Sparse
100,640,77,Sparse
100,640,93,Sparse
100,640,92,Sparse
100,640,78,Sparse
100,640,93,Sparse
100,1280,217,Sparse
100,1280,233,Sparse
100,1280,249,Sparse
100,1280,218,Sparse
100,1280,202,Sparse
100,1280,233,Sparse
100,1280,233,Sparse
100,1280,233,Sparse
100,1280,233,Sparse
100,1280,202,Sparse
200,10,0,Sparse
200,10,0,Sparse
200,10,15,Sparse
200,10,0,Sparse
200,10,0,Sparse
200,10,15,Sparse
200,10,0,Sparse
200,10,15,Sparse
200,10,15,Sparse
200,10,0,Sparse
200,20,15,Sparse
200,20,15,Sparse
200,20,0,Sparse
200,20,0,Sparse
200,20,0,Sparse
200,20,0,Sparse
200,20,0,Sparse
200,20,0,Sparse
200,20,0,Sparse
200,20,0,Sparse
200,40,0,Sparse
200,40,0,Sparse
200,40,0,Sparse
200,40,15,Sparse
200,40,0,Sparse
200,40,0,Sparse
200,40,0,Sparse
200,40,0,Sparse
200,40,15,Sparse
200,40,0,Sparse
200,80,15,Sparse
200,80,15,Sparse
200,80,15,Sparse
200,80,15,Sparse
200,80,0,Sparse
200,80,0,Sparse
200,80,15,Sparse
200,80,0,Sparse
200,80,0,Sparse
200,80,15,Sparse
200,160,15,Sparse
200,160,31,Sparse
200,160,46,Sparse
200,160,15,Sparse
200,160,31,Sparse
200,160,31,Sparse
200,160,31,Sparse
200,160,31,Sparse
200,160,15,Sparse
200,160,31,Sparse
200,320,46,Sparse
200,320,46,Sparse
200,320,46,Sparse
200,320,62,Sparse
200,320,78,Sparse
200,320,61,Sparse
200,320,62,Sparse
200,320,61,Sparse
200,320,61,Sparse
200,320,46,Sparse
200,640,139,Sparse
200,640,124,Sparse
200,640,124,Sparse
200,640,124,Sparse
200,640,124,Sparse
200,640,139,Sparse
200,640,124,Sparse
200,640,124,Sparse
200,640,140,Sparse
200,640,124,Sparse
200,1280,343,Sparse
200,1280,373,Sparse
200,1280,343,Sparse
200,1280,358,Sparse
200,1280,327,Sparse
200,1280,343,Sparse
200,1280,342,Sparse
200,1280,373,Sparse
200,1280,342,Sparse
200,1280,451,Sparse
400,10,0,Sparse
400,10,15,Sparse
400,10,0,Sparse
400,10,0,Sparse
400,10,0,Sparse
400,10,0,Sparse
400,10,0,Sparse
400,10,0,Sparse
400,10,15,Sparse
400,10,0,Sparse
400,20,0,Sparse
400,20,15,Sparse
400,20,15,Sparse
400,20,15,Sparse
400,20,0,Sparse
400,20,0,Sparse
400,20,15,Sparse
400,20,0,Sparse
400,20,0,Sparse
400,20,15,Sparse
400,40,15,Sparse
400,40,0,Sparse
400,40,15,Sparse
400,40,0,Sparse
400,40,15,Sparse
400,40,0,Sparse
400,40,0,Sparse
400,40,15,Sparse
400,40,0,Sparse
400,40,0,Sparse
400,80,31,Sparse
400,80,46,Sparse
400,80,15,Sparse
400,80,15,Sparse
400,80,31,Sparse
400,80,15,Sparse
400,80,15,Sparse
400,80,31,Sparse
400,80,15,Sparse
400,80,15,Sparse
400,160,78,Sparse
400,160,77,Sparse
400,160,62,Sparse
400,160,46,Sparse
400,160,61,Sparse
400,160,46,Sparse
400,160,61,Sparse
400,160,46,Sparse
400,160,62,Sparse
400,160,62,Sparse
400,320,124,Sparse
400,320,108,Sparse
400,320,124,Sparse
400,320,109,Sparse
400,320,93,Sparse
400,320,124,Sparse
400,320,124,Sparse
400,320,139,Sparse
400,320,109,Sparse
400,320,109,Sparse
400,640,295,Sparse
400,640,280,Sparse
400,640,311,Sparse
400,640,295,Sparse
400,640,249,Sparse
400,640,280,Sparse
