n,m,time,name
10000,10,62,Naive
10000,10,93,Naive
10000,10,78,Naive
10000,10,78,Naive
10000,10,62,Naive
10000,10,62,Naive
10000,10,93,Naive
10000,10,93,Naive
10000,10,62,Naive
10000,10,93,Naive
10000,12,78,Naive
10000,12,62,Naive
10000,12,62,Naive
10000,12,78,Naive
10000,12,93,Naive
10000,12,78,Naive
10000,12,78,Naive
10000,12,93,Naive
10000,12,62,Naive
10000,12,78,Naive
10000,15,78,Naive
10000,15,62,Naive
10000,15,78,Naive
10000,15,77,Naive
10000,15,62,Naive
10000,15,62,Naive
10000,15,93,Naive
10000,15,78,Naive
10000,15,93,Naive
10000,15,78,Naive
10000,20,93,Naive
10000,20,78,Naive
10000,20,77,Naive
10000,20,78,Naive
10000,20,93,Naive
10000,20,78,Naive
10000,20,62,Naive
10000,20,78,Naive
10000,20,93,Naive
10000,20,93,Naive
10000,25,108,Naive
10000,25,93,Naive
10000,25,108,Naive
10000,25,109,Naive
10000,25,93,Naive
10000,25,93,Naive
10000,25,78,Naive
10000,25,78,Naive
10000,25,109,Naive
10000,25,93,Naive
10000,31,93,Naive
10000,31,93,Naive
10000,31,93,Naive
10000,31,78,Naive
10000,31,62,Naive
10000,31,78,Naive
10000,31,78,Naive
10000,31,93,Naive
10000,31,78,Naive
10000,31,78,Naive
10000,40,93,Naive
10000,40,93,Naive
10000,40,93,Naive
10000,40,77,Naive
10000,40,93,Naive
10000,40,93,Naive
10000,40,93,Naive
10000,40,93,Naive
10000,40,109,Naive
10000,40,93,Naive
10000,50,124,Naive
10000,50,93,Naive
10000,50,109,Naive
10000,50,109,Naive
10000,50,109,Naive
10000,50,109,Naive
10000,50,124,Naive
10000,50,109,Naive
10000,50,124,Naive
10000,50,93,Naive
10000,63,124,Naive
10000,63,156,Naive
10000,63,124,Naive
10000,63,139,Naive
10000,63,124,Naive
10000,63,124,Naive
10000,63,124,Naive
10000,63,124,Naive
10000,63,140,Naive
10000,63,156,Naive
10000,80,202,Naive
10000,80,202,Naive
10000,80,155,Naive
10000,80,171,Naive
10000,80,187,Naive
10000,80,202,Naive
10000,80,171,Naive
10000,80,187,Naive
10000,80,171,Naive
10000,80,171,Naive
10000,100,218,Naive
10000,100,233,Naive
10000,100,249,Naive
10000,100,280,Naive
10000,100,264,Naive
10000,100,249,Naive
10000,100,264,Naive
10000,100,249,Naive
10000,100,234,Naive
10000,100,234,Naive
10000,127,312,Naive
10000,127,327,Naive
10000,127,327,Naive
10000,127,312,Naive
10000,127,327,Naive
10000,127,343,Naive
10000,127,327,Naive
10000,127,311,Naive
10000,127,342,Naive
10000,127,343,Naive
10000,160,483,Naive
10000,160,452,Naive
10000,160,483,Naive
10000,160,483,Naive
10000,160,483,Naive
10000,160,498,Naive
10000,160,483,Naive
10000,160,499,Naive
10000,160,498,Naive
10000,160,483,Naive
10000,201,733,Naive
10000,201,780,Naive
10000,201,702,Naive
10000,201,733,Naive
10000,201,748,Naive
10000,201,733,Naive
10000,201,702,Naive
10000,201,686,Naive
10000,201,702,Naive
10000,201,717,Naive
10000,254,1107,Naive
10000,254,1075,Naive
10000,254,1138,Naive
10000,254,1107,Naive
10000,254,1060,Naive
10000,254,1092,Naive
10000,254,1138,Naive
10000,254,1138,Naive
10000,254,1123,Naive
10000,254,1138,Naive
10000,320,1684,Naive
10000,320,1700,Naive
10000,320,1684,Naive
10000,320,1699,Naive
10000,320,1653,Naive
10000,320,1700,Naive
10000,320,1856,Naive
10000,320,1684,Naive
10000,320,1793,Naive
10000,320,1653,Naive
10000,403,2776,Naive
10000,403,2589,Naive
10000,403,2791,Naive
10000,403,2635,Naive
10000,403,2776,Naive
10000,403,2729,Naive
10000,403,2761,Naive
10000,403,2605,Naive
10000,403,2620,Naive
10000,403,2604,Naive
10000,508,4274,Naive
10000,508,4071,Naive
10000,508,4149,Naive
10000,508,4134,Naive
10000,508,4289,Naive
10000,508,4227,Naive
10000,508,4227,Naive
10000,508,4227,Naive
10000,508,4211,Naive
10000,508,4133,Naive
10000,640,6552,Naive
10000,640,6473,Naive
10000,640,6458,Naive
10000,640,6582,Naive
10000,640,6567,Naive
10000,640,6489,Naive
10000,640,6691,Naive
10000,640,6489,Naive
10000,640,6458,Naive
10000,640,6535,Naive
10000,807,10358,Naive
10000,807,10529,Naive
10000,807,10311,Naive
10000,807,10592,Naive
10000,807,10420,Naive
10000,807,10389,Naive
10000,807,10451,Naive
10000,807,10716,Naive
10000,807,10623,Naive
10000,807,10498,Naive
10000,1017,15000,Naive
10000,1017,15000,Naive
10000,1017,15000,Naive
10000,1017,15000,Naive
10000,1017,15000,Naive
10000,1017,15000,Naive
10000,1017,15000,Naive
10000,1017,15000,Naive
10000,1017,15000,Naive
10000,1017,15000,Naive
10000,1281,15000,Naive
10000,1281,15000,Naive
10000,1281,15000,Naive
10000,1281,15000,Naive
10000,1281,15000,Naive
10000,1281,15000,Naive
10000,1281,15000,Naive
10000,1281,15000,Naive
10000,1281,15000,Naive
10000,1281,15000,Naive
10000,1614,15000,Naive
10000,1614,15000,Naive
10000,1614,15000,Naive
10000,1614,15000,Naive
10000,1614,15000,Naive
10000,1614,15000,Naive
10000,1614,15000,Naive
10000,1614,15000,Naive
10000,1614,15000,Naive
10000,1614,15000,Naive
10000,2034,15000,Naive
10000,2034,15000,Naive
10000,2034,15000,Naive
10000,2034,15000,Naive
10000,2034,15000,Naive
10000,2034,15000,Naive
10000,2034,15000,Naive
10000,2034,15000,Naive
10000,2034,15000,Naive
10000,2034,15000,Naive
10000,2563,15000,Naive
10000,2563,15000,Naive
10000,2563,15000,Naive
10000,2563,15000,Naive
10000,2563,15000,Naive
10000,2563,15000,Naive
10000,2563,15000,Naive
10000,2563,15000,Naive
10000,2563,15000,Naive
10000,2563,15000,Naive
10000,3230,15000,Naive
10000,3230,15000,Naive
10000,3230,15000,Naive
10000,3230,15000,Naive
10000,3230,15000,Naive
10000,3230,15000,Naive
10000,3230,15000,Naive
10000,3230,15000,Naive
10000,3230,15000,Naive
10000,3230,15000,Naive
10000,4070,15000,Naive
10000,4070,15000,Naive
10000,4070,15000,Naive
10000,4070,15000,Naive
10000,4070,15000,Naive
10000,4070,15000,Naive
10000,4070,15000,Naive
10000,4070,15000,Naive
10000,4070,15000,Naive
10000,4070,15000,Naive
10000,10,77,Dijkstra
10000,10,62,Dijkstra
10000,10,62,Dijkstra
10000,10,93,Dijkstra
10000,10,93,Dijkstra
10000,10,109,Dijkstra
10000,10,93,Dijkstra
10000,10,109,Dijkstra
10000,10,93,Dijkstra
10000,10,78,Dijkstra
10000,12,78,Dijkstra
10000,12,78,Dijkstra
10000,12,78,Dijkstra
10000,12,62,Dijkstra
10000,12,93,Dijkstra
10000,12,62,Dijkstra
10000,12,93,Dijkstra
10000,12,62,Dijkstra
10000,12,109,Dijkstra
10000,12,62,Dijkstra
10000,15,78,Dijkstra
10000,15,109,Dijkstra
10000,15,93,Dijkstra
10000,15,93,Dijkstra
10000,15,78,Dijkstra
10000,15,62,Dijkstra
10000,15,62,Dijkstra
10000,15,62,Dijkstra
10000,15,62,Dijkstra
10000,15,62,Dijkstra
10000,20,46,Dijkstra
10000,20,78,Dijkstra
10000,20,78,Dijkstra
10000,20,93,Dijkstra
10000,20,78,Dijkstra
10000,20,93,Dijkstra
10000,20,62,Dijkstra
10000,20,93,Dijkstra
10000,20,93,Dijkstra
10000,20,109,Dijkstra
10000,25,62,Dijkstra
10000,25,109,Dijkstra
10000,25,62,Dijkstra
10000,25,77,Dijkstra
10000,25,62,Dijkstra
10000,25,46,Dijkstra
10000,25,62,Dijkstra
10000,25,93,Dijkstra
10000,25,77,Dijkstra
10000,25,77,Dijkstra
10000,31,108,Dijkstra
10000,31,109,Dijkstra
10000,31,78,Dijkstra
10000,31,77,Dijkstra
10000,31,78,Dijkstra
10000,31,62,Dijkstra
10000,31,78,Dijkstra
10000,31,78,Dijkstra
10000,31,78,Dijkstra
10000,31,93,Dijkstra
10000,40,78,Dijkstra
10000,40,78,Dijkstra
10000,40,93,Dijkstra
10000,40,93,Dijkstra
10000,40,78,Dijkstra
10000,40,78,Dijkstra
10000,40,93,Dijkstra
10000,40,93,Dijkstra
10000,40,93,Dijkstra
10000,40,93,Dijkstra
10000,50,93,Dijkstra
10000,50,93,Dijkstra
10000,50,93,Dijkstra
10000,50,78,Dijkstra
10000,50,62,Dijkstra
10000,50,108,Dijkstra
10000,50,46,Dijkstra
10000,50,93,Dijkstra
10000,50,93,Dijkstra
10000,50,62,Dijkstra
10000,63,78,Dijkstra
10000,63,78,Dijkstra
10000,63,93,Dijkstra
10000,63,77,Dijkstra
10000,63,93,Dijkstra
10000,63,93,Dijkstra
10000,63,62,Dijkstra
10000,63,78,Dijkstra
10000,63,62,Dijkstra
10000,63,78,Dijkstra
10000,80,62,Dijkstra
10000,80,78,Dijkstra
10000,80,93,Dijkstra
10000,80,78,Dijkstra
10000,80,93,Dijkstra
10000,80,78,Dijkstra
10000,80,78,Dijkstra
10000,80,78,Dijkstra
10000,80,93,Dijkstra
10000,80,108,Dijkstra
10000,100,93,Dijkstra
10000,100,77,Dijkstra
10000,100,78,Dijkstra
10000,100,78,Dijkstra
10000,100,78,Dijkstra
10000,100,62,Dijkstra
10000,100,78,Dijkstra
10000,100,93,Dijkstra
10000,100,93,Dijkstra
10000,100,93,Dijkstra
10000,127,93,Dijkstra
10000,127,93,Dijkstra
10000,127,93,Dijkstra
10000,127,109,Dijkstra
10000,127,93,Dijkstra
10000,127,78,Dijkstra
10000,127,78,Dijkstra
10000,127,78,Dijkstra
10000,127,78,Dijkstra
10000,127,93,Dijkstra
10000,160,77,Dijkstra
10000,160,78,Dijkstra
10000,160,93,Dijkstra
10000,160,78,Dijkstra
10000,160,109,Dijkstra
10000,160,78,Dijkstra
10000,160,109,Dijkstra
10000,160,93,Dijkstra
10000,160,78,Dijkstra
10000,160,108,Dijkstra
10000,201,140,Dijkstra
10000,201,139,Dijkstra
10000,201,124,Dijkstra
10000,201,109,Dijkstra
10000,201,93,Dijkstra
10000,201,108,Dijkstra
10000,201,108,Dijkstra
10000,201,93,Dijkstra
10000,201,108,Dijkstra
10000,201,108,Dijkstra
10000,254,77,Dijkstra
10000,254,124,Dijkstra
10000,254,109,Dijkstra
10000,254,124,Dijkstra
10000,254,109,Dijkstra
10000,254,139,Dijkstra
10000,254,139,Dijkstra
10000,254,108,Dijkstra
10000,254,124,Dijkstra
10000,254,140,Dijkstra
10000,320,155,Dijkstra
10000,320,139,Dijkstra
10000,320,202,Dijkstra
10000,320,140,Dijkstra
10000,320,156,Dijkstra
10000,320,155,Dijkstra
10000,320,140,Dijkstra
10000,320,156,Dijkstra
10000,320,155,Dijkstra
10000,320,156,Dijkstra
10000,403,202,Dijkstra
10000,403,202,Dijkstra
10000,403,187,Dijkstra
10000,403,202,Dijkstra
10000,403,202,Dijkstra
10000,403,202,Dijkstra
10000,403,186,Dijkstra
10000,403,186,Dijkstra
10000,403,171,Dijkstra
10000,403,217,Dijkstra
10000,508,280,Dijkstra
10000,508,280,Dijkstra
10000,508,249,Dijkstra
10000,508,280,Dijkstra
10000,508,280,Dijkstra
10000,508,296,Dijkstra
10000,508,327,Dijkstra
10000,508,280,Dijkstra
10000,508,311,Dijkstra
10000,508,233,Dijkstra
10000,640,452,Dijkstra
10000,640,374,Dijkstra
10000,640,389,Dijkstra
10000,640,467,Dijkstra
10000,640,452,Dijkstra
10000,640,467,Dijkstra
10000,640,358,Dijkstra
10000,640,389,Dijkstra
10000,640,482,Dijkstra
10000,640,421,Dijkstra
10000,807,685,Dijkstra
10000,807,638,Dijkstra
10000,807,701,Dijkstra
10000,807,717,Dijkstra
10000,807,717,Dijkstra
10000,807,670,Dijkstra
10000,807,623,Dijkstra
10000,807,655,Dijkstra
10000,807,701,Dijkstra
10000,807,639,Dijkstra
10000,1017,1169,Dijkstra
10000,1017,1138,Dijkstra
10000,1017,1138,Dijkstra
10000,1017,1107,Dijkstra
10000,1017,1107,Dijkstra
10000,1017,1107,Dijkstra
10000,1017,1044,Dijkstra
10000,1017,1138,Dijkstra
10000,1017,1029,Dijkstra
10000,1017,1107,Dijkstra
10000,1281,1652,Dijkstra
10000,1281,1606,Dijkstra
10000,1281,1684,Dijkstra
10000,1281,1544,Dijkstra
10000,1281,1747,Dijkstra
10000,1281,1777,Dijkstra
10000,1281,1637,Dijkstra
10000,1281,1621,Dijkstra
10000,1281,1606,Dijkstra
10000,1281,1575,Dijkstra
10000,1614,2480,Dijkstra
10000,1614,2589,Dijkstra
10000,1614,2636,Dijkstra
10000,1614,2464,Dijkstra
10000,1614,2729,Dijkstra
10000,1614,2636,Dijkstra
10000,1614,2620,Dijkstra
10000,1614,2667,Dijkstra
10000,1614,2652,Dijkstra
10000,1614,2605,Dijkstra
10000,2034,4632,Dijkstra
10000,2034,4461,Dijkstra
10000,2034,4320,Dijkstra
10000,2034,4632,Dijkstra
10000,2034,4211,Dijkstra
10000,2034,4383,Dijkstra
10000,2034,4242,Dijkstra
10000,2034,4243,Dijkstra
10000,2034,4227,Dijkstra
10000,2034,4258,Dijkstra
10000,2563,6785,Dijkstra
10000,2563,7004,Dijkstra
10000,2563,7300,Dijkstra
10000,2563,6894,Dijkstra
10000,2563,7409,Dijkstra
