,n,ac_bfs.cpp,ac_dense.cpp,ac_dense_merge.cpp,ac_sweep.cpp,dijkstra_two.cpp,naive.cpp,resolution.cpp
0,100,187,15000,545,202,545,265,108
1,100,171,15000,577,139,670,280,156
2,100,170,15000,546,140,577,264,140
3,100,186,15000,545,171,561,280,155
4,100,171,15000,546,155,717,280,155
5,100,171,15000,561,171,685,280,140
6,100,171,15000,607,156,576,265,156
7,100,171,15000,623,155,639,280,155
8,100,155,15000,592,155,810,249,155
9,100,171,15000,576,140,638,280,124
10,126,202,15000,576,156,561,327,187
11,126,202,15000,576,155,561,389,155
12,126,202,15000,576,156,545,280,186
13,126,187,15000,561,124,654,311,187
14,126,186,14133,623,171,670,311,155
15,126,155,14055,545,155,717,327,187
16,126,187,15000,607,170,701,311,202
17,126,155,15000,623,140,655,327,186
18,126,171,14226,607,171,748,311,186
19,126,233,15000,561,156,701,343,155
20,158,186,11934,577,171,857,390,233
21,158,171,12214,560,156,655,389,202
22,158,171,12604,576,155,638,389,233
23,158,155,15000,577,139,654,389,170
24,158,186,12245,592,140,764,374,233
25,158,187,12713,577,140,623,389,217
26,158,171,13478,623,140,654,358,186
27,158,171,12027,607,155,577,389,186
28,158,186,12744,623,155,654,482,202
29,158,186,12557,577,155,592,389,233
30,200,187,10202,608,155,686,436,248
31,200,171,10357,623,171,795,436,233
32,200,218,10982,639,171,701,483,233
33,200,202,10982,639,171,795,451,265
34,200,187,10092,639,156,686,436,233
35,200,155,10560,577,171,779,467,249
36,200,187,10389,670,171,701,405,233
37,200,187,9655,592,155,795,483,233
38,200,171,10311,592,155,670,436,217
39,200,186,11013,655,202,624,452,248
40,252,171,8407,592,171,685,530,264
41,252,171,9109,654,156,872,545,311
42,252,171,9297,670,156,686,560,311
43,252,171,7830,623,155,654,530,296
44,252,217,8688,639,139,717,545,280
45,252,186,8127,623,171,670,514,311
46,252,171,8360,686,156,686,529,280
47,252,171,8533,623,156,655,529,295
48,252,171,8189,607,171,576,514,296
49,252,170,8750,670,155,810,608,295
50,317,187,6707,607,156,670,670,390
51,317,187,7081,623,171,717,623,373
52,317,217,6723,624,139,701,639,358
53,317,171,6754,639,155,638,654,374
54,317,171,7035,639,155,608,670,389
55,317,187,7144,639,171,670,654,343
56,317,186,7019,607,156,811,623,358
57,317,233,7238,623,171,733,639,373
58,317,218,6942,608,155,686,623,373
59,317,202,7113,623,156,717,623,389
60,400,233,5865,655,171,623,779,514
61,400,171,5584,655,155,607,763,467
62,400,202,5990,639,140,592,795,467
63,400,186,5600,639,155,592,779,483
64,400,187,5942,623,124,670,733,467
65,400,186,5615,654,171,608,779,482
66,400,202,5537,624,171,686,748,514
67,400,171,5521,623,155,686,779,483
68,400,187,5724,608,156,608,779,483
69,400,187,6005,732,171,623,794,467
70,504,217,4788,639,155,794,950,639
71,504,186,4850,702,171,686,966,655
72,504,187,4836,623,202,623,966,592
73,504,202,4648,639,170,795,935,639
74,504,186,5194,639,171,639,935,608
75,504,202,4835,716,156,654,935,607
76,504,186,4788,670,155,607,967,607
77,504,186,4492,639,155,686,966,623
78,504,186,4804,654,155,607,966,608
79,504,218,4882,639,186,686,935,623
80,635,186,4195,670,187,623,1154,857
81,635,186,4008,639,171,701,1216,826
82,635,202,4118,670,156,670,1107,826
83,635,187,4289,701,171,655,1138,826
84,635,171,3992,670,171,654,1154,857
85,635,217,4040,670,171,733,1122,857
86,635,202,4071,670,187,764,1169,841
87,635,186,4024,654,171,857,1153,841
88,635,202,4429,654,171,623,1138,826
89,635,202,4040,655,171,748,1201,857
